arm,probe_id,difficulty,rep,hum,soph,content_len,tok_s
constitution,qa_boil,simple,0,1.0,4.0,113,119.2
constitution,qa_boil,simple,1,1.0,5.0,52,120.0
constitution,qa_boil,simple,2,3.0,5.0,80,107.4
constitution,qa_boil,simple,3,1.0,4.0,57,131.4
constitution,fp_einstein,moderate,0,3.0,4.0,2827,93.7
constitution,fp_einstein,moderate,1,4.0,5.0,3056,98.7
constitution,fp_einstein,moderate,2,4.0,5.0,2471,94.9
constitution,fp_einstein,moderate,3,5.0,5.0,2600,96.6
constitution,tcp_udp,technical,0,5.0,5.0,3501,100.4
constitution,tcp_udp,technical,1,4.0,5.0,3148,107.7
constitution,tcp_udp,technical,2,4.0,5.0,3405,103.0
constitution,tcp_udp,technical,3,4.0,5.0,3213,104.3
constitution,deadlock,technical,0,4.0,4.0,2451,106.3
constitution,deadlock,technical,1,4.0,5.0,2737,103.1
constitution,deadlock,technical,2,4.0,5.0,2843,112.3
constitution,deadlock,technical,3,4.0,5.0,2253,106.3
bare,qa_boil,simple,0,2.0,4.0,57,142.5
bare,qa_boil,simple,1,2.0,4.0,57,125.1
bare,qa_boil,simple,2,2.0,4.0,72,117.6
bare,qa_boil,simple,3,2.0,5.0,65,120.3
bare,fp_einstein,moderate,0,4.0,4.0,2790,101.1
bare,fp_einstein,moderate,1,4.0,4.0,2732,99.8
bare,fp_einstein,moderate,2,4.0,4.0,3152,100.7
bare,fp_einstein,moderate,3,4.0,4.0,2697,103.3
bare,tcp_udp,technical,0,4.0,5.0,3265,113.3
bare,tcp_udp,technical,1,4.0,5.0,3084,114.5
bare,tcp_udp,technical,2,4.0,5.0,3562,108.7
bare,tcp_udp,technical,3,4.0,5.0,3547,106.5
bare,deadlock,technical,0,3.0,4.0,2837,111.0
bare,deadlock,technical,1,3.0,4.0,2968,115.2
bare,deadlock,technical,2,2.0,4.0,2800,115.0
bare,deadlock,technical,3,4.0,5.0,2639,115.7
